epnumber,pull?,eptype,epsubtype,releaseorder,guestprefix,guestfirstname,guestsurname,guestsuffix,guestspecialname,guestanon?,epnamesubtitle,firstnameoverride,fullnameoverride,guestfullname,guestdisplayfirstname,guestdisplayfullname,epdisplayname,parenthesisafterspecial,episodefullname,epfullname,releasedateddmmyyyy,releasedatelong,spotlink,applelink,ytlink,amazlink,artworkimg,live?,seriesno,epwithinseries,SNEN,S0NE0N,durationshhmmss,durationmm,durationhrm,1stjob,2ndjob,3rdjob,guestinsta1,guestinsta2,guestinstahandle1,guestinstalink1,guestinstahandle2,guestinstalink2,guestx1,guestx2,guestxhandle1,guestxlink1,guestxhandle2,guestxlink2,website1,website1label,featurequote1,acastblurb,credit1title,credit1person,credit2title,credit2person,credit3title,credit3person,bonuscontentlabel1,bonuscontentlink1,bonuscontentlabel2,bonuscontentlink2
1,Y,reg,reg,1,,Charlie,Randall,,,,,,,Charlie Randall,Charlie,Charlie Randall,Charlie Randall,,Episode 1: Charlie Randall,Ep. 1: Charlie Randall,04/09/2023,"4 September, 2023",https://open.spotify.com/episode/3st3SqjGuhFk33c3Whdy5K?si=ONpSIl8DR2C2IkQmVSxrBA,https://podcasts.apple.com/gb/podcast/ep-1-charlie-randall/id1705650684?i=1000626641327,https://youtu.be/jpIjRwnZeyU?si=wb2i_A2KRNU-Nnqc,https://music.amazon.co.uk/podcasts/23c4ef15-d6d5-4c3a-81f2-2385f2393c37/episodes/2fbf660e-a99b-4129-87aa-71d668ccfd66/careers-mare-ep-1-charlie-randall,images/artworks/artwork1.png,Y,1,1,S1E1,S01E01,01:36:51,97,1 hr 37 m,actor,charity worker,,charlierandall4,,@charlierandall4,https://instagram.com/charlierandall4/,,,,,,,,,,,,"In this first episode of careers-themed comedy podcast Careers Mare, Jacob and Jordan sit down with actor Charlie Randall, the original Norfolk-bound moth-hater, to discuss his working life and his dream job.",Music by,Robbie George,,,Edited by,Jacob Power,,,,
2,Y,reg,reg,2,,Harry,Stevenson,,,,,,,Harry Stevenson,Harry,Harry Stevenson,Harry Stevenson,,Episode 2: Harry Stevenson,Ep. 2: Harry Stevenson,18/09/2023,"18 September, 2023",https://open.spotify.com/episode/2vqH47l7O3RVKXISjoip9R?si=3cxShVtqQkKNFFtmtKv_ZA,https://podcasts.apple.com/gb/podcast/ep-2-harry-stevenson/id1705650684?i=1000628192303,https://youtu.be/nsGIHc6mASY?si=wFet79IED0T327NP,https://music.amazon.co.uk/podcasts/23c4ef15-d6d5-4c3a-81f2-2385f2393c37/episodes/99fd08cd-5307-466f-a4b0-eba13b6ab0b3/careers-mare-ep-2-harry-stevenson,images/artworks/artwork2.png,Y,1,2,S1E2,S01E02,00:56:14,56,56 m,engineer,,,,,,,,,,,,,,,,,,"In Jacob and Jordan's dream job factory this episode is nuclear mechanical engineer Harry Stevenson, discussing his career and his dream job. May contain uranium, vegetables and formaldehyde.",Music by,Robbie George,,,Edited by,Jacob Power,,,,
3,Y,reg,reg,3,,Lucy,Fennell,,,,,,,Lucy Fennell,Lucy,Lucy Fennell,Lucy Fennell,,Episode 3: Lucy Fennell,Ep. 3: Lucy Fennell,02/10/2023,"2 October, 2023",https://open.spotify.com/episode/3jsji1TCr7zWPowCcVKv27?si=VZxnTJSfTn2OKN116ATdtA,https://podcasts.apple.com/gb/podcast/ep-3-lucy-fennell/id1705650684?i=1000629847761,https://youtu.be/90_P5TSUmlg?si=X3cxSH5QQC-k0zkP,https://music.amazon.co.uk/podcasts/23c4ef15-d6d5-4c3a-81f2-2385f2393c37/episodes/3fa0a538-96cc-44af-976e-4d76774b89d1/careers-mare-ep-3-lucy-fennell,images/artworks/artwork3.png,Y,1,3,S1E3,S01E03,01:26:53,87,1 hr 27 m,intimacy coordinator,intimacy director,,lucyfennellintimacycoordinator,,@lucyfennellintimacycoordinator,https://instagram.com/lucyfennellintimacycoordinator/,,,lucyfennell1gm1,,@lucyfennell1gm1,https://x.com/lucyfennell1gm1/,,,,,,"Intimacy coordinator to the stars Lucy Fennell joins Jacob and Jordan to discuss her eclectic career and her fantasy vocation. Featuring butter curls, Ben Whishaw and a delivery of bees.

",Music by,Robbie George,,,Edited by,Jacob Power,,,,
4,Y,reg,reg,4,,Anand,Sankar,,,,,,,Anand Sankar,Anand,Anand Sankar,Anand Sankar,,Episode 4: Anand Sankar,Ep. 4: Anand Sankar,16/10/2023,"16 October, 2023",https://open.spotify.com/episode/30xRSEvStufUKZ3UEm98sf?si=7S2LkdD0S6u1MIzEA-LlSg,https://podcasts.apple.com/gb/podcast/ep-4-anand-sankar/id1705650684?i=1000631417433,https://youtu.be/i9sejyu3RyM?si=5PHGT3d8WrParCEy,https://music.amazon.co.uk/podcasts/23c4ef15-d6d5-4c3a-81f2-2385f2393c37/episodes/ad14a6fb-f3fa-45aa-ac1a-57768d4e155a/careers-mare-ep-4-anand-sankar,images/artworks/artwork4.png,Y,1,4,S1E4,S01E04,01:29:11,89,1 hr 29 m,sales representative,comedian,,anandhasfun,,@anandhasfun,https://instagram.com/anandhasfun/,,,anandhasfun,,@anandhasfun,https://x.com/anandhasfun/,,,,,"The very funny Anand Sankar takes us on a tour through his career steps in digital marketing, lifeguarding, Menkinding, improvising, acting, latté arting, and much much moring.",,Music by,Robbie George,,,Edited by,Jacob Power,,,,
5,Y,reg,reg,5,,Fran,Lister,,,,,,,Fran Lister,Fran,Fran Lister,Fran Lister,,Episode 5: Fran Lister,Ep. 5: Fran Lister,30/10/2023,"30 October, 2023",https://open.spotify.com/episode/7vRXNQ3kWAHxxEOeqBymzm?si=Lk9sCQ_fRZW8XTonYVA7FQ,https://podcasts.apple.com/gb/podcast/ep-5-fran-lister/id1705650684?i=1000633034044,https://youtu.be/lj5_nO6N4c4?si=FOStkl47_AXSS-Ho,https://music.amazon.co.uk/podcasts/23c4ef15-d6d5-4c3a-81f2-2385f2393c37/episodes/97add08b-44b6-40fb-8d26-20a93f5b2681/careers-mare-ep-5-fran-lister,images/artworks/artwork5.png,Y,1,5,S1E5,S01E05,01:22:21,82,1 hr 22 m,healthcare worker,,,,,,,,,,,,,,,,,"Gong! Fran Lister has worked for foreign diplomats, made burgers for a near-forgotten railway-theme burger chain, and sold encyclopaedias door-to-door. Find out more as she reminisces about her strange travels and picks out her dream career.",,Music by,Robbie George,,,Edited by,Jacob Power,,,,
6,Y,reg,reg,6,,Eva,Wallis,,,,,,,Eva Wallis,Eva,Eva Wallis,Eva Wallis,,Episode 6: Eva Wallis,Ep. 6: Eva Wallis,13/11/2023,"13 November, 2023",https://open.spotify.com/episode/2WFndR0gvQ7ltb9VAgi6vz?si=EdhiDhIXROqoJBQOcDtkdw,https://podcasts.apple.com/gb/podcast/ep-6-eva-wallis/id1705650684?i=1000634570771,https://youtu.be/QEYTgTwp4fU?si=giby463FYu8rMxwM,https://music.amazon.co.uk/podcasts/23c4ef15-d6d5-4c3a-81f2-2385f2393c37/episodes/7f328357-6903-409d-9f21-b874ef223f0a/careers-mare-ep-6-eva-wallis,images/artworks/artwork6.png,Y,1,6,S1E6,S01E06,01:33:57,94,1 hr 34 m,receptionist,comedian,,eva.wallis,,@eva.wallis,https://instagram.com/eva.wallis/,,,eva1m1w,,@eva1m1w,https://x.com/eva1m1w/,,,,,"Has Eva Wallis ever torn a deer's head off? Would she help a honey badger whose skin was back-to-front? Does Noel Edmonds have orbs on his shoulders? These questions and many more, answered! Join Jacob, Jordan and Eva as she takes us all through her spectacular career and her beastly dream job.",,Music by,Robbie George,,,Edited by,Jacob Power,,,,
7,Y,reg,reg,7,,Rob,Morgan,,,,,,,Rob Morgan,Rob,Rob Morgan,Rob Morgan,,Episode 7: Rob Morgan,Ep. 7: Rob Morgan,27/11/2023,"27 November, 2023",https://open.spotify.com/episode/7ccApMGD8iI3AuEongq0Bj?si=p9UuVFWaS0WvTy4bAoLW0Q,https://podcasts.apple.com/gb/podcast/ep-7-rob-morgan/id1705650684?i=1000636611357,https://youtu.be/j42qNTFMyBI?si=w0em7AQROc8tniJA,https://music.amazon.co.uk/podcasts/23c4ef15-d6d5-4c3a-81f2-2385f2393c37/episodes/f006e0ce-5ae7-4035-86c6-6abc8b9734af/careers-mare-ep-7-rob-morgan,images/artworks/artwork7.png,Y,1,7,S1E7,S01E07,01:25:10,85,1 hr 25 m,,,,slewyt,,@slewyt,https://instagram.com/slewyt/,,,,,,,,,,,,,Music by,Robbie George,,,Edited by,Jacob Power,,,,
8,Y,reg,reg,8,Dr,George,Cooke,,,,,,,George Cooke,George,George Cooke,Dr George Cooke,,Episode 8: Dr George Cooke,Ep. 8: Dr George Cooke,11/12/2023,"11 December, 2023",https://open.spotify.com/episode/5s5a8CA3H9eR0RTj9MtIsJ?si=tC5gyh-5Rli2nMYmJ0elZg,https://podcasts.apple.com/gb/podcast/ep-8-dr-george-cooke/id1705650684?i=1000638150715,https://youtu.be/MBXnRH87I3g?si=oo2pvmSjbQeKVFaW,https://music.amazon.co.uk/podcasts/23c4ef15-d6d5-4c3a-81f2-2385f2393c37/episodes/776e6079-3d37-4cf3-b56d-a0d6da47c073/careers-mare-ep-8-dr-george-cooke,images/artworks/artwork8.png,Y,1,8,S1E8,S01E08,01:32:56,93,1 hr 33 m,doctor,,,,,,,,,,,,,,,,,,,Music by,Robbie George,,,Edited by,Jacob Power,,,,
9,Y,reg,theme,9,,Paddy,Hanrahan,,,,Christmas Special,,,Paddy Hanrahan,Paddy,Paddy Hanrahan,Paddy Hanrahan (Christmas Special),,Episode 9: Paddy Hanrahan (Christmas Special),Ep. 9: Paddy Hanrahan (Christmas Special),22/12/2023,"22 December, 2023",https://open.spotify.com/episode/4R2sMywPYLiTCyOfRBsoVn?si=fJwiQ9FATkKZFkJQsuh-6Q,https://podcasts.apple.com/gb/podcast/ep-9-paddy-hanrahan-christmas-special/id1705650684?i=1000639409827,https://youtu.be/642h4KBm2Bk?si=HQG-ZsWwgKvTwUEz,https://music.amazon.co.uk/podcasts/23c4ef15-d6d5-4c3a-81f2-2385f2393c37/episodes/cd238e79-fb58-4f2e-a85d-710b8d40cbb9/careers-mare-ep-9-paddy-hanrahan-christmas-special,images/artworks/artwork9.png,Y,1,9,S1E9,S01E09,01:34:03,94,1 hr 34 m,santa,wedding celebrant,,,,,,,,,,,,,,,,,,Music by,Robbie George,,,Edited by,Jacob Power,,,,
10,Y,reg,reg,10,,Anil,Dawar,,,,,,,Anil Dawar,Anil,Anil Dawar,Anil Dawar,,Episode 10: Anil Dawar,Ep. 10: Anil Dawar,08/01/2024,"8 January, 2024",https://open.spotify.com/episode/5Swa3ahhC1rYCkWRUUeS00?si=UXj8h-TNQpK9xCY5JJ-iHw,https://podcasts.apple.com/gb/podcast/ep-10-anil-dawar/id1705650684?i=1000640871733,https://youtu.be/zczVLXurD1I?si=VErnu11OCG7H6ZER,https://music.amazon.co.uk/podcasts/23c4ef15-d6d5-4c3a-81f2-2385f2393c37/episodes/c89d3ba8-a8e9-492f-a7bd-4dfc32019dd7/careers-mare-ep-10-anil-dawar,images/artworks/artwork10.png,Y,1,10,S1E10,S1E10,01:15:14,75,1 hr 15 m,journalist,editor,,,,,,,,,,,,,,,,,,Music by,Robbie George,,,Edited by,Jacob Power,,,,
